ratio_thresh,ransac_reproj,nOctaveLayers,contrastThreshold,edgeThreshold,sigma,avg_match_distance,avg_inliers,valid_images,rank
0.8,20.0,20.0,0.04,10.0,2.0,39.444664,33.50217391304348,460.0,207.6667984
0.8,20.0,30.0,0.04,10.0,2.0,56.11333,33.641304347826086,460.0,217.667998
0.875,30.0,20.0,0.035,30.0,2.5,60.78106,42.80125523012552,478.0,227.66863600000002
9.5,50.0,10.0,0.03,5.0,1.0,75.48068,88.93762993762994,481.0,237.688408
0.8,50.0,30.0,0.04,30.0,2.0,106.82459,35.84782608695652,460.0,248.094754
0.875,20.0,10.0,0.035,30.0,2.0,113.18936,40.43933054393305,478.0,259.113616
0.875,40.0,40.0,0.04,1.0,1.5,130.6684,44.90985324947589,477.0,269.20104000000003
0.85,30.0,40.0,0.03,10.0,3.0,163.15984,40.49256900212314,471.0,286.295904
0.875,20.0,30.0,0.025,20.0,1.0,207.54723,40.686974789915965,476.0,314.928338
9.5,20.0,40.0,0.025,1.0,1.0,246.38922,59.2037422037422,481.0,340.23353199999997
0.85,20.0,40.0,0.04,30.0,2.5,278.85007,39.01705756929638,469.0,354.91004200000003
0.85,30.0,10.0,0.035,1.0,2.0,349.29712,40.691489361702125,470.0,397.57827199999997
0.85,30.0,40.0,0.04,5.0,1.0,372.55252,40.56475583864119,471.0,411.931512
0.85,50.0,30.0,0.02,1.0,1.0,495.04105,43.11087420042644,469.0,484.62463
0.825,30.0,30.0,0.035,20.0,2.0,621.2262,37.76025917926566,463.0,557.93572
0.85,50.0,10.0,0.025,10.0,2.5,655.73,43.3974358974359,468.0,580.638
9.25,50.0,50.0,0.025,1.0,2.5,725.7516,88.94802494802495,481.0,627.85096
9.0,50.0,40.0,0.035,1.0,1.0,1294.83,89.00831600831602,481.0,969.2979999999999
0.8,50.0,10.0,0.03,30.0,2.5,1783.9037,36.0195652173913,460.0,1254.34222
9.25,50.0,20.0,0.025,1.0,1.0,2368.4248,88.4948024948025,481.0,1613.45488
0.85,40.0,50.0,0.025,1.0,2.0,3567.8315,41.79744136460555,469.0,2328.2989
0.875,40.0,30.0,0.04,5.0,2.5,6505.268,44.82217573221757,478.0,4094.3607999999995
