ratio_thresh,ransac_reproj,nOctaveLayers,contrastThreshold,edgeThreshold,sigma,avg_pixel_offset,avg_inliers,valid_images
0.825,20,10,0.02,1,1.0,116.780594,36.67965367965368,462
0.825,20,10,0.02,1,1.5,116.780594,36.67965367965368,462
0.825,20,10,0.02,1,2.0,116.780594,36.67965367965368,462
0.825,20,10,0.02,1,2.5,116.780594,36.67965367965368,462
0.825,20,10,0.02,1,3.0,116.780594,36.67965367965368,462
0.825,20,10,0.02,5,1.0,51.51163,36.54211663066955,463
0.825,20,10,0.02,5,1.5,51.51163,36.54211663066955,463
0.825,20,10,0.02,5,2.0,51.51163,36.54211663066955,463
0.825,20,10,0.02,5,2.5,51.51163,36.54211663066955,463
0.825,20,10,0.02,5,3.0,51.51163,36.54211663066955,463
0.825,20,10,0.02,10,1.0,51.51163,36.54211663066955,463
0.825,20,10,0.02,10,2.0,51.51163,36.54211663066955,463
0.825,20,10,0.02,10,1.5,51.51163,36.54211663066955,463
0.825,20,10,0.02,10,2.5,51.51163,36.54211663066955,463
0.825,20,10,0.02,10,3.0,51.51163,36.54211663066955,463
0.825,20,10,0.02,20,1.0,51.51163,36.54211663066955,463
0.825,20,10,0.02,20,1.5,51.51163,36.54211663066955,463
0.825,20,10,0.02,20,2.0,51.51163,36.54211663066955,463
0.825,20,10,0.02,20,2.5,51.51163,36.54211663066955,463
0.825,20,10,0.02,20,3.0,51.51163,36.54211663066955,463
0.825,20,10,0.02,30,1.0,51.51163,36.54211663066955,463
0.825,20,10,0.02,30,1.5,65.350006,36.73376623376623,462
0.825,20,10,0.02,30,2.0,65.350006,36.73376623376623,462
0.825,20,10,0.02,30,2.5,65.350006,36.73376623376623,462
0.825,20,10,0.02,30,3.0,65.350006,36.73376623376623,462
0.825,20,10,0.025,1,2.0,65.350006,36.73376623376623,462
0.825,20,10,0.025,1,1.0,65.350006,36.73376623376623,462
0.825,20,10,0.025,1,1.5,65.350006,36.73376623376623,462
0.825,20,10,0.025,1,2.5,65.350006,36.73376623376623,462
0.825,20,10,0.025,1,3.0,65.350006,36.73376623376623,462
0.825,20,10,0.025,5,1.0,65.350006,36.73376623376623,462
0.825,20,10,0.025,5,1.5,65.350006,36.73376623376623,462
0.825,20,10,0.025,5,2.0,65.350006,36.73376623376623,462
0.825,20,10,0.025,5,3.0,65.350006,36.73376623376623,462
0.825,20,10,0.025,5,2.5,65.350006,36.73376623376623,462
0.825,20,10,0.025,10,1.0,65.350006,36.73376623376623,462
0.825,20,10,0.025,10,1.5,65.350006,36.73376623376623,462
0.825,20,10,0.025,10,2.5,57.235043,36.73752711496746,461
